match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
11412,1,Chennai Super Kings,Mumbai Indians,1,2,F du Plessis,SR Watson,SL Malinga,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,1,3,F du Plessis,SR Watson,SL Malinga,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,1,4,F du Plessis,SR Watson,SL Malinga,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,1,5,F du Plessis,SR Watson,SL Malinga,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,1,6,F du Plessis,SR Watson,SL Malinga,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,2,1,F du Plessis,SR Watson,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,2,2,F du Plessis,SR Watson,KH Pandya,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,2,3,F du Plessis,SR Watson,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,2,4,F du Plessis,SR Watson,KH Pandya,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,2,5,SR Watson,F du Plessis,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,2,6,SR Watson,F du Plessis,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,3,1,F du Plessis,SR Watson,RD Chahar,0,0,0,0,0,0,0,0,0,F du Plessis,caught,
11412,1,Chennai Super Kings,Mumbai Indians,3,2,SK Raina,SR Watson,RD Chahar,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,3,3,SK Raina,SR Watson,RD Chahar,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,3,4,SK Raina,SR Watson,RD Chahar,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,3,5,SR Watson,SK Raina,RD Chahar,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,3,6,SR Watson,SK Raina,RD Chahar,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,4,1,SK Raina,SR Watson,J Yadav,0,0,0,0,1,0,1,1,2,,,
11412,1,Chennai Super Kings,Mumbai Indians,4,2,SK Raina,SR Watson,J Yadav,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,4,3,SK Raina,SR Watson,J Yadav,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,4,4,SK Raina,SR Watson,J Yadav,0,0,0,0,0,0,0,0,0,SK Raina,caught,J Yadav
11412,1,Chennai Super Kings,Mumbai Indians,4,5,SR Watson,M Vijay,J Yadav,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,4,6,SR Watson,M Vijay,J Yadav,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,4,7,SR Watson,M Vijay,J Yadav,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,5,1,SR Watson,M Vijay,JJ Bumrah,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,5,2,SR Watson,M Vijay,JJ Bumrah,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,5,3,SR Watson,M Vijay,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,5,4,M Vijay,SR Watson,JJ Bumrah,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,5,5,M Vijay,SR Watson,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,5,6,SR Watson,M Vijay,JJ Bumrah,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,6,1,M Vijay,SR Watson,KH Pandya,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,6,2,M Vijay,SR Watson,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,6,3,M Vijay,SR Watson,KH Pandya,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,6,4,M Vijay,SR Watson,KH Pandya,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,6,5,SR Watson,M Vijay,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,6,6,SR Watson,M Vijay,KH Pandya,0,0,0,0,0,0,0,0,0,SR Watson,caught,J Yadav
11412,1,Chennai Super Kings,Mumbai Indians,7,1,AT Rayudu,M Vijay,RD Chahar,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,7,2,M Vijay,AT Rayudu,RD Chahar,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,7,3,AT Rayudu,M Vijay,RD Chahar,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,7,4,AT Rayudu,M Vijay,RD Chahar,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,7,5,M Vijay,AT Rayudu,RD Chahar,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,7,6,M Vijay,AT Rayudu,RD Chahar,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,8,1,AT Rayudu,M Vijay,HH Pandya,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,8,2,M Vijay,AT Rayudu,HH Pandya,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,8,3,AT Rayudu,M Vijay,HH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,8,4,AT Rayudu,M Vijay,HH Pandya,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,8,5,M Vijay,AT Rayudu,HH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,8,6,M Vijay,AT Rayudu,HH Pandya,0,0,0,0,0,0,2,0,2,,,
11412,1,Chennai Super Kings,Mumbai Indians,9,1,AT Rayudu,M Vijay,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,9,2,AT Rayudu,M Vijay,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,9,3,AT Rayudu,M Vijay,KH Pandya,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,9,4,M Vijay,AT Rayudu,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,9,5,M Vijay,AT Rayudu,KH Pandya,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,9,6,M Vijay,AT Rayudu,KH Pandya,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,10,1,M Vijay,AT Rayudu,J Yadav,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,10,2,AT Rayudu,M Vijay,J Yadav,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,10,3,M Vijay,AT Rayudu,J Yadav,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,10,4,AT Rayudu,M Vijay,J Yadav,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,10,5,M Vijay,AT Rayudu,J Yadav,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,10,6,M Vijay,AT Rayudu,J Yadav,0,0,0,0,0,0,0,0,0,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,1,AT Rayudu,M Vijay,SL Malinga,0,1,0,0,0,0,1,1,2,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,2,AT Rayudu,M Vijay,SL Malinga,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,3,M Vijay,AT Rayudu,SL Malinga,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,4,AT Rayudu,M Vijay,SL Malinga,0,0,0,0,1,0,1,1,2,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,5,AT Rayudu,M Vijay,SL Malinga,0,0,0,0,0,0,4,0,4,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,6,AT Rayudu,M Vijay,SL Malinga,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,7,M Vijay,AT Rayudu,SL Malinga,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,11,8,AT Rayudu,M Vijay,SL Malinga,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,12,1,AT Rayudu,M Vijay,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
11412,1,Chennai Super Kings,Mumbai Indians,12,2,M Vijay,AT Rayudu,JJ Bumrah,0,0,0,0,0,0,2,0,2,,,
