match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
280,1,Royal Challengers Bangalore,Kings XI Punjab,1,1,CH Gayle,TM Dilshan,P Kumar,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,1,2,CH Gayle,TM Dilshan,P Kumar,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,1,3,CH Gayle,TM Dilshan,P Kumar,0,0,0,0,0,0,4,0,4,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,1,4,CH Gayle,TM Dilshan,P Kumar,0,0,0,0,0,0,1,0,1,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,1,5,TM Dilshan,CH Gayle,P Kumar,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,1,6,TM Dilshan,CH Gayle,P Kumar,0,0,0,0,0,0,4,0,4,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,2,1,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,2,2,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,2,3,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,2,4,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,2,5,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,2,6,CH Gayle,TM Dilshan,RJ Harris,0,0,0,3,0,0,0,3,3,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,3,1,CH Gayle,TM Dilshan,P Kumar,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,3,2,CH Gayle,TM Dilshan,P Kumar,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,3,3,CH Gayle,TM Dilshan,P Kumar,0,0,0,0,0,0,1,0,1,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,3,4,TM Dilshan,CH Gayle,P Kumar,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,3,5,TM Dilshan,CH Gayle,P Kumar,0,0,0,0,0,0,4,0,4,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,3,6,TM Dilshan,CH Gayle,P Kumar,0,0,0,0,0,0,0,0,0,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,4,1,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,6,0,6,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,4,2,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,6,0,6,,,
280,1,Royal Challengers Bangalore,Kings XI Punjab,4,3,CH Gayle,TM Dilshan,RJ Harris,0,0,0,0,0,0,1,0,1,,,
